"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C02_001E","S1602_C02_001M","S1602_C03_001E","S1602_C03_001M","S1602_C04_001E","S1602_C04_001M","S1602_C01_002E","S1602_C01_002M","S1602_C02_002E","S1602_C02_002M","S1602_C03_002E","S1602_C03_002M","S1602_C04_002E","S1602_C04_002M","S1602_C01_003E","S1602_C01_003M","S1602_C02_003E","S1602_C02_003M","S1602_C03_003E","S1602_C03_003M","S1602_C04_003E","S1602_C04_003M","S1602_C01_004E","S1602_C01_004M","S1602_C02_004E","S1602_C02_004M","S1602_C03_004E","S1602_C03_004M","S1602_C04_004E","S1602_C04_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_005E","S1602_C02_005M","S1602_C03_005E","S1602_C03_005M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total MOE!!All households","Estimate!!Percent!!All households","Margin of Error!!Percent MOE!!All households","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households MOE!!All households","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households MOE!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other languages"
"0400000US02","Alaska","254551","3266","(X)","(X)","4202","804","1.7","0.3","11796","1479","4.6","0.6","621","359","5.3","3.1","7505","994","2.9","0.4","459","266","6.1","3.4","14650","1234","5.8","0.5","2729","700","18.6","4.5","12965","1125","5.1","0.5","393","170","3.0","1.3"
"0400000US23","Maine","570307","5261","(X)","(X)","5140","1024","0.9","0.2","6259","1033","1.1","0.2","243","213","3.9","3.4","30570","2760","5.4","0.5","3183","900","10.4","2.9","6262","1262","1.1","0.2","478","303","7.6","5.0","3749","803","0.7","0.1","1236","672","33.0","14.8"
"0400000US37","North Carolina","4011462","16617","(X)","(X)","87957","5465","2.2","0.1","278464","6764","6.9","0.2","59019","3838","21.2","1.3","93619","5313","2.3","0.1","9863","1881","10.5","1.8","78746","3725","2.0","0.1","15649","2097","19.9","2.3","24510","2890","0.6","0.1","3426","1282","14.0","4.5"
"0400000US29","Missouri","2434806","10407","(X)","(X)","31840","3241","1.3","0.1","69158","3330","2.8","0.1","10637","1985","15.4","2.7","52056","4099","2.1","0.2","7308","1815","14.0","3.0","38254","2377","1.6","0.1","10930","1709","28.6","4.1","15815","2393","0.6","0.1","2965","1032","18.7","5.7"
"0400000US42","Pennsylvania","5070931","12151","(X)","(X)","124694","5813","2.5","0.1","278302","5115","5.5","0.1","61115","4639","22.0","1.6","217768","7463","4.3","0.1","31461","3008","14.4","1.3","110202","4376","2.2","0.1","26758","2709","24.3","2.2","40345","3544","0.8","0.1","5360","1260","13.3","2.9"
"0400000US26","Michigan","3957466","12369","(X)","(X)","67748","4052","1.7","0.1","127212","4418","3.2","0.1","17488","1993","13.7","1.5","131986","4689","3.3","0.1","16490","2087","12.5","1.5","76071","3275","1.9","0.1","16982","2089","22.3","2.5","75940","3552","1.9","0.1","16788","2074","22.1","2.5"
"0400000US31","Nebraska","765490","3878","(X)","(X)","20195","2115","2.6","0.3","52258","2625","6.8","0.3","12830","1641","24.6","3.0","15937","1863","2.1","0.2","2062","681","12.9","3.9","12589","1224","1.6","0.2","2931","760","23.3","5.7","6967","1410","0.9","0.2","2372","959","34.0","10.3"
"0400000US41","Oregon","1639970","6988","(X)","(X)","43094","3675","2.6","0.2","138892","3947","8.5","0.2","23494","3028","16.9","2.1","51840","3442","3.2","0.2","4554","1181","8.8","2.2","55698","2896","3.4","0.2","12984","1881","23.3","2.9","12542","1878","0.8","0.1","2062","951","16.4","6.7"
"0400000US56","Wyoming","230252","3746","(X)","(X)","2342","976","1.0","0.4","13461","1746","5.8","0.7","1726","870","12.8","6.4","3726","970","1.6","0.4","122","126","3.3","3.3","2233","723","1.0","0.3","494","422","22.1","17.7","1881","556","0.8","0.2","0","203","0.0","8.6"
